title,department,photo,description
AI Workshop,ECE,static/images/workshops/w1.jpg,Inauguration of Three day workshop in association with makeintern & E-Cell IIT Kharagpur
Application of RS and GIS for hydrology and water management,civil,static/images/workshops/w2.jpg,Continuing Education and Quality improvement programme for faculties of civil department
e-Surveying using Total Station,civil,static/images/workshops/w3.jpg,Two days workshop in association with SSG Greenways Pvt.Ltd 
International Conference on Emerging Trends,Mechanical,static/images/workshops/w4.jpg,Department of Mechanical Engineering
Internal Combustion Engines,Mechanical,static/images/workshops/w4.jpg,Department of Mechanical Engineering has organized two days workshop in association with AJ Heuristic Bangalore
